Count,Geometry,Phase,Orientation,Angle,r/D,L/D,H/D,Froude_No,Fluid_Reynolds,Archimedes_No,Stokes_No,Particle_Reynolds,Diameter_Ratio,Density_Ratio,Hardness,Volume_Fraction,Particle_Sharpness,Erosion_Ratio(mm/kg),-20%,+20%,Reference
71,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,2652.5826140625,3207.34126984127,622.708333333333,0.0428571428571429,0.000462264150943396,298.110264091085,8.25091211138288E-05,1,0.00257,0.002056,0.003084,Vieira 2017
72,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,2652.5826140625,3207.34126984127,622.708333333333,0.0428571428571429,0.000462264150943396,298.110264091085,8.25091211138288E-05,1,0.0029,0.00232,0.00348,Vieira 2017
73,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,2652.5826140625,3207.34126984127,622.708333333333,0.0428571428571429,0.000462264150943396,298.110264091085,8.25091211138288E-05,1,0.00234,0.001872,0.002808,Vieira 2017
74,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,2652.5826140625,3207.34126984127,622.708333333333,0.0428571428571429,0.000462264150943396,298.110264091085,8.46520337514632E-05,1,0.0029,0.00232,0.00348,Vieira 2017
75,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,2652.5826140625,3207.34126984127,622.708333333333,0.0428571428571429,0.000462264150943396,298.110264091085,8.46520337514632E-05,1,0.00245,0.00196,0.00294,Vieira 2017
76,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,2652.5826140625,3207.34126984127,622.708333333333,0.0428571428571429,0.000462264150943396,298.110264091085,8.46520337514632E-05,1,0.00283,0.002264,0.003396,Vieira 2017
77,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000153220388857435,1,0.000223,0.0001784,0.0002676,Vieira 2017
78,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000153220388857435,1,0.000335,0.000268,0.000402,Vieira 2017
79,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000153220388857435,1,0.000781,0.0006248,0.0009372,Vieira 2017
80,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000153220388857435,1,0.000558,0.0004464,0.0006696,Vieira 2017
81,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000153220388857435,1,0.000736,0.0005888,0.0008832,Vieira 2017
82,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000148935142173322,1,0.000669,0.0005352,0.0008028,Vieira 2017
83,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,7.8759001896656E-05,1,0.000469,0.0003752,0.0005628,Vieira 2017
84,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000144649858756746,1,0.00087,0.000696,0.001044,Vieira 2017
85,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000150006457288001,1,0.000622,0.0004976,0.0007464,Vieira 2017
86,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000150006457288001,1,0.000622,0.0004976,0.0007464,Vieira 2017
87,DI,Gas-solid,H-V,90,0,354.330708661417,1.81428571428571,116.390173518329,14529.8611111111,331.572826757812,801.835317460317,311.354166666667,0.0214285714285714,0.000462264150943396,298.110264091085,0.000123222890670373,1,0.000478,0.0003824,0.0005736,Vieira 2017
88,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0288091822094691,0.0230473457675753,0.0345710186513629,https://www.sciencedirect.com/science/article/pii/S0043164815003749
89,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0216183963269339,0.0172947170615471,0.0259420755923207,https://www.sciencedirect.com/science/article/pii/S0043164815003749
90,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0177983645092445,0.0142386916073956,0.0213580374110934,https://www.sciencedirect.com/science/article/pii/S0043164815003749
91,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.017098602856947,0.0136788822855576,0.0205183234283364,https://www.sciencedirect.com/science/article/pii/S0043164815003749
92,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0162434926922445,0.0129947941537956,0.0194921912306934,https://www.sciencedirect.com/science/article/pii/S0043164815003749
93,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0181643833837322,0.0145315067069858,0.0217972600604786,https://www.sciencedirect.com/science/article/pii/S0043164815003749
94,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0164254259152173,0.0131403407321738,0.0197105110982608,https://www.sciencedirect.com/science/article/pii/S0043164815003749
95,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0166314554943886,0.0133051643955109,0.0199577465932663,https://www.sciencedirect.com/science/article/pii/S0043164815003749
96,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.02606959002667,0.020855672021336,0.031283508032004,https://www.sciencedirect.com/science/article/pii/S0043164815003749
97,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0191716482509293,0.0153373186007434,0.0230059779011152,https://www.sciencedirect.com/science/article/pii/S0043164815003749
98,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0156688157448252,0.0125350525958602,0.0188025788937902,https://www.sciencedirect.com/science/article/pii/S0043164815003749
99,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0138279043494634,0.0110623234795707,0.0165934852193561,https://www.sciencedirect.com/science/article/pii/S0043164815003749
100,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0129045142905854,0.0103236114324683,0.0154854171487025,https://www.sciencedirect.com/science/article/pii/S0043164815003749
101,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0128020890711386,0.0102416712569109,0.0153625068853663,https://www.sciencedirect.com/science/article/pii/S0043164815003749
102,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0130133345739391,0.0104106676591513,0.0156160014887269,https://www.sciencedirect.com/science/article/pii/S0043164815003749
103,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0132607207508709,0.0106085766006967,0.0159128649010451,https://www.sciencedirect.com/science/article/pii/S0043164815003749
104,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0136543924677363,0.010923513974189,0.0163852709612836,https://www.sciencedirect.com/science/article/pii/S0043164815003749
105,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.017325978018276,0.0138607824146208,0.0207911736219312,https://www.sciencedirect.com/science/article/pii/S0043164815003749
106,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.0130830343232974,0.0104664274586379,0.0156996411879569,https://www.sciencedirect.com/science/article/pii/S0043164815003749
107,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.010847661489815,0.008678129191852,0.013017193787778,https://www.sciencedirect.com/science/article/pii/S0043164815003749
108,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.00988700385814703,0.00790960308651762,0.0118644046297764,https://www.sciencedirect.com/science/article/pii/S0043164815003749
109,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.00951761795116681,0.00761409436093345,0.0114211415414002,https://www.sciencedirect.com/science/article/pii/S0043164815003749
110,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.00974836386131074,0.00779869108904859,0.0116980366335729,https://www.sciencedirect.com/science/article/pii/S0043164815003749
111,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.00940854794333271,0.00752683835466617,0.0112902575319993,https://www.sciencedirect.com/science/article/pii/S0043164815003749
112,DI,Liquid-solid,V-H,90,0,354.330708661417,3,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0822320117474302,1,0.0102331707025053,0.00818653656200424,0.0122798048430064,https://www.sciencedirect.com/science/article/pii/S0043164815003749
113,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0142666853898783,0.0114133483119026,0.017120022467854,https://www.sciencedirect.com/science/article/pii/S0043164815003749
114,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0121547302478914,0.00972378419831312,0.0145856762974697,https://www.sciencedirect.com/science/article/pii/S0043164815003749
115,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0119190279090198,0.00953522232721584,0.0143028334908238,https://www.sciencedirect.com/science/article/pii/S0043164815003749
116,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0118412489910108,0.00947299919280864,0.014209498789213,https://www.sciencedirect.com/science/article/pii/S0043164815003749
117,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0128904256855416,0.0103123405484333,0.0154685108226499,https://www.sciencedirect.com/science/article/pii/S0043164815003749
118,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.013120284125176,0.0104962273001408,0.0157443409502112,https://www.sciencedirect.com/science/article/pii/S0043164815003749
119,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0126784273759456,0.0101427419007565,0.0152141128511347,https://www.sciencedirect.com/science/article/pii/S0043164815003749
120,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0340030911901082,1,0.0129434456016455,0.0103547564813164,0.0155321347219746,https://www.sciencedirect.com/science/article/pii/S0043164815003749
121,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0128556131034341,0.0102844904827473,0.0154267357241209,https://www.sciencedirect.com/science/article/pii/S0043164815003749
122,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.0101700626546624,0.00813605012372992,0.0122040751855949,https://www.sciencedirect.com/science/article/pii/S0043164815003749
123,DI,Liquid-solid,V-H,90,0,354.330708661417,5.2,119.728285652644,1920,0.0049663125,0.146484375,45,0.0234375,0.4,132.001836547291,0.0605035700864337,1,0.00805639850787454,0.00644511880629963,0.00966767820944945,https://www.sciencedirect.com/science/article/pii/S0043164815003749
